SpO2,HeartBeat,Temperature
0.00,0.00,23.56
0.00,0.00,23.93
110.00,21.98,13
94.00,67.91,21.
94.00,68.56,14.
93.00,37.55,13.
95.00,91.96,15.
94.00,42.54,15.
94.00,50.59,14.
95.00,49.80,11.
96.00,87.40,7.4
96.00,97.04,7.4
93.00,37.92,15.
95.00,24.47,18.
118.00,76.68,15
95.00,21.90,16.
64.00,61.02,12.
97.00,40.87,8.6
